readcode,readterm,cat
B224.,"Malignant neoplasm of lower lobe, bronchus or lung",Any malignancy
B41z.,Malignant neoplasm of cervix uteri NOS,Any malignancy
B3401,Malignant neoplasm of areola of female breast,Any malignancy
B6276,Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma,Any malignancy
B602.,Burkitt's lymphoma,Any malignancy
B305.,Malignant neoplasm of carpal bones,Any malignancy
B828.,Melanoma in situ of skin,Any malignancy
BBP1.,"[M]Mesothelioma, malignant",Any malignancy
B62y1,"Malignant lymphoma NOS of lymph nodes of head, face and neck",Any malignancy
B6271,Follicular non-Hodg mixed sml cleavd & lge cell lymphoma,Any malignancy
B3061,Malignant neoplasm of ischium,Any malignancy
B5105,Malignant neoplasm of thalamus,Any malignancy
BB5z.,[M]Adenoma or adenocarcinoma NOS,Any malignancy
BBgT.,"[M]Malignant lymphoma, large cell, noncleaved, diffuse",Any malignancy
B5452,Malignant neoplasm of coccygeal body,Any malignancy
B8282,Melanoma in situ of ear and external auricular canal,Any malignancy
B808.,Carcinoma in situ of liver and biliary system,Any malignancy
1579C,PANCREAS CARCINOMA,Any malignancy
209,MYELOFIBROSIS,Any malignancy
B543.,Malignant neoplasm of pineal gland,Any malignancy
B4...,Malignant neoplasm of genitourinary organ,Any malignancy
BB29.,[M]Intraepidermal carcinoma NOS,Any malignancy
BBg3.,"[M]Malignant lymphoma, undifferentiated cell type NOS",Any malignancy
B6028,Burkitt's lymphoma of lymph nodes of multiple sites,Any malignancy
B064z,Malignant neoplasm of anterior epiglottis NOS,Any malignancy
B836.,Carcinoma in situ other and unspecified male genital organs,Any malignancy
B51y.,Malignant neoplasm of other parts of brain,Any malignancy
B3053,Malignant neoplasm of carpal bone - pisiform,Any malignancy
B60y.,Other specified reticulosarcoma or lymphosarcoma,Any malignancy
B65y1,Acute promyelocytic leukaemia,Any malignancy
B5230,Malignant neoplasm of spinal dura mater,Any malignancy
B1zy.,Malignant neoplasm other spec digestive tract and peritoneum,Any malignancy
B935.,Histiocytic tumour NOS,Any malignancy
BBD1.,"[M]Paraganglioma, malignant",Any malignancy
B6231,"Malignant histiocytosis of lymph nodes head, face and neck",Any malignancy
B43z.,Malignant neoplasm of body of uterus NOS,Any malignancy
B335z,"Malignant neoplasm of skin of trunk, excluding scrotum, NOS",Any malignancy
1450A,MALIGNANT NEOPLASM CHEEK INTERNAL,Any malignancy
B41y0,Malignant neoplasm of cervical stump,Any malignancy
BB94.,[M]Juvenile breast carcinoma,Any malignancy
B614z,"Hodgkin's disease, nodular sclerosis NOS",Any malignancy
B0020,"Malignant neoplasm of upper lip, buccal aspect",Any malignancy
BB511,[M]Adenocarcinoma in situ in tubulovillous adenoma,Any malignancy
B1110,Malignant neoplasm of prepylorus of stomach,Any malignancy
185 C,PROSTATE CARCINOMA,Any malignancy
BBV9.,[M]Myxoid chondrosarcoma,Any malignancy
B5...,Malignant neoplasm of other and unspecified sites,Any malignancy
B0043,"Malignant neoplasm of lip, oral aspect",Any malignancy
B6267,Mast cell malignancy of spleen,Any malignancy
185 C,ADENOCARCINOMA PROSTATE,Any malignancy
1890C,HYPERNEPHROMA,Any malignancy
B201.,"Malig neop auditory tube, middle ear and mastoid air cells",Any malignancy
B6223,Sezary's disease of intra-abdominal lymph nodes,Any malignancy
193 T,MALIGNANT NEOPLASM THYROGLOSSAL DUCT,Any malignancy
B6512,Chronic neutrophilic leukaemia,Any malignancy
B6212,Mycosis fungoides of intrathoracic lymph nodes,Any malignancy
B8121,Carcinoma in situ of main bronchus,Any malignancy
B6114,Hodgkin's granuloma of lymph nodes of axilla and upper limb,Any malignancy
B480.,Malignant neoplasm of prepuce (foreskin),Any malignancy
B8102,Carcinoma in situ of epiglottis,Any malignancy
B3260,Malignant melanoma of shoulder,Any malignancy
BBEG.,[M]Lentigo maligna melanoma,Any malignancy
B671.,Heilmeyer - Schoner disease,Any malignancy
N2373,Pseudosarcomatous fibromatosis,Any malignancy
2040,LYMPHATIC LEUKAEMIA ACUTE,Any malignancy
B8270,Carcinoma in situ of skin of hip,Any malignancy
BBh2.,"[M]Reticulosarcoma, nodular",Any malignancy
Byu13,[X]Malignant neoplsm/ill-defin sites within digestive system,Any malignancy
BB5Lz,[M]Adenomatous or adenocarcinomatous polyp NOS,Any malignancy
B3357,Malignant neoplasm of skin of back,Any malignancy
B616.,"Hodgkin's disease, lymphocytic depletion",Any malignancy
B626.,Malignant mast cell tumours,Any malignancy
B62x3,Malignant reticuloendotheliosis,Any malignancy
Byu43,"[X]Malignant neoplasm of skin, unspecified",Any malignancy
BB5..,[M]Adenocarcinomas,Any malignancy
B6281,Follicular lymphoma grade 2,Any malignancy
B1511,Malignant neoplasm of interlobular biliary canals,Any malignancy
B6287,Other types of follicular lymphoma,Any malignancy
B337.,Malignant neoplasm of skin of lower limb and hip,Any malignancy
B3334,Malignant neoplasm of skin of nose (external),Any malignancy
BBl..,[M]Mycosis fungoides,Any malignancy
B800.,Carcinoma in situ of pharynx,Any malignancy
B6011,"Lymphosarcoma of lymph nodes of head, face and neck",Any malignancy
B440.,Cancer of ovary,Any malignancy
BB56.,[M]Superficial spreading adenocarcinoma,Any malignancy
B071.,Malignant neoplasm of posterior wall of nasopharynx,Any malignancy
1959B,MALIGNANT NEOPLASM INGUINAL,Any malignancy
B0z2.,Malignant neoplasm of laryngopharynx,Any malignancy
B116.,Malignant neoplasm of greater curve of stomach unspecified,Any malignancy
ByuDE,[X]Unspecified B-cell non-Hodgkin's lymphoma,Any malignancy
BB818,[M]Papillary serous cystadenocarcinoma,Any malignancy
B213z,Malignant neoplasm of laryngeal cartilage NOS,Any malignancy
BBP5.,"[M]Epithelioid mesothelioma, malignant",Any malignancy
B324.,Malignant melanoma of scalp and neck,Any malignancy
B5241,"Malignant neoplasm of peripheral nerve,upp limb,incl should",Any malignancy
B231.,Malignant neoplasm of visceral pleura,Any malignancy
B210.,Malignant neoplasm of glottis,Any malignancy
B1802,Malignant neoplasm of retrocaecal tissue,Any malignancy
B8031,Carcinoma in situ of transverse colon,Any malignancy
B832.,Carcinoma in situ of body of uterus,Any malignancy
208 B,ERYTHROBLASTOMA,Any malignancy
BBK04,[M]Epithelioid leiomyosarcoma,Any malignancy
B8122,Carcinoma in situ of upper lobe bronchus and lung,Any malignancy
1719F,MALIGNANT FIBROBLASTOMA,Any malignancy
1731A,MALIGNANT NEOPLASM CANTHUS,Any malignancy
B3400,Malignant neoplasm of nipple of female breast,Any malignancy
B3080,Malignant neoplasm of patella,Any malignancy
B26..,"Malignant neoplasm, overlap lesion of resp & intrathor orgs",Any malignancy
B2411,Malignant neoplasm of epicardium,Any malignancy
Byu24,[X]Malignant neoplasm/ill-defined sites within resp system,Any malignancy
BB2M.,[M]Lymphoepithelial carcinoma,Any malignancy
BB5R5,"[M]Carcinoid tumour, nonargentaffin, malignant",Any malignancy
B136.,Malignant neoplasm of ascending colon,Any malignancy
1460C,CARCINOMA TONSIL,Any malignancy
BB52.,[M]Adenocarcinoma NOS,Any malignancy
B80z1,Carcinoma in situ of spleen,Any malignancy
Byu70,"[X]Malignant neoplasm of uterine adnexa, unspecified",Any malignancy
B100.,Malignant neoplasm of cervical oesophagus,Any malignancy
BB34.,"[M]Basal cell carcinoma, fibroepithelial type",Any malignancy
B3356,Malignant neoplasm of skin of perineum,Any malignancy
1529B,LYMPHOSARCOMA SMALL INTESTINE,Any malignancy
1929E,EPENDYMOMA,Any malignancy
1419A,TONGUE TUMOUR MALIGNANT,Any malignancy
BBZ2.,"[M]Odontogenic tumour, malignant",Any malignancy
B625.,"Histiocytosis X (acute, progressive)",Any malignancy
BBgM.,"[M]Malignant lymphoma, small cleaved cell, diffuse",Any malignancy
By...,Neoplasms otherwise specified,Any malignancy
B62x.,Malignant lymphoma otherwise specified,Any malignancy
B33..,Other malignant neoplasm of skin,Any malignancy
B61..,Hodgkin's disease,Any malignancy
B6262,Mast cell malignancy of intrathoracic lymph nodes,Any malignancy
1468A,MALIGNANT NEOPLASM BRANCHIAL CLEFT,Any malignancy
2020F,FOLLICULAR LYMPHOMA,Any malignancy
B61z7,Hodgkin's disease NOS of spleen,Any malignancy
F373.,Polyneuropathy in malignant disease,Any malignancy
1840A,MALIGNANT NEOPLASM VAGINA,Any malignancy
B81y7,Carcinoma in situ of ethmoidal sinus,Any malignancy
BB2A.,[M]Squamous cell carcinoma NOS,Any malignancy
BB5W1,[M]Oxyphilic adenocarcinoma,Any malignancy
ByuD9,[X]Other leukaemia of unspecified cell type,Any malignancy
1849A,NEOPLASM MALIGNANT GENITAL TRACT FEMALE,Any malignancy
B62x1,Lymphoepithelioid lymphoma,Any malignancy
B1513,Malignant neoplasm of intrahepatic canaliculi,Any malignancy
Byu71,[X]Malignant neoplasm/other specified female genital organs,Any malignancy
B5231,Malignant neoplasm of spinal arachnoid mater,Any malignancy
BBV1.,[M]Osteochondrosarcoma,Any malignancy
2049A,LEUKAEMIC ADENIA,Any malignancy
BBmD.,[M] Cutaneous lymphoma,Any malignancy
1409A,MALIGNANT NEOPLASM LIP,Any malignancy
BB29.,[M]Squamous cell carcinoma in situ NOS,Any malignancy
B3312,Malignant neoplasm of lower eyelid,Any malignancy
B222z,"Malignant neoplasm of upper lobe, bronchus or lung NOS",Any malignancy
1959C,MALIGNANT NEOPLASM SHOULDER,Any malignancy
B8107,Carcinoma in situ of vestibular fold,Any malignancy
B8332,Carcinoma in situ of vagina,Any malignancy
B084.,"Malignant neoplasm, overlapping lesion of hypopharynx",Any malignancy
B30z0,Osteosarcoma,Any malignancy
B1100,Malignant neoplasm of cardiac orifice of stomach,Any malignancy
B833z,Carcinoma in situ of female genital organs NOS,Any malignancy
B3378,Malignant neoplasm of skin of toe,Any malignancy
B21z.,Malignant neoplasm of larynx NOS,Any malignancy
BBEM.,[M]Malignant melanoma in giant pigmented naevus,Any malignancy
B6150,"Hodgkin's disease, mixed cellularity of unspecified site",Any malignancy
ByuD1,[X]Other types of follicular non-Hodgkin's lymphoma,Any malignancy
B3151,Malig neop of connective and soft tissue of inguinal region,Any malignancy
B3100,Malignant neoplasm of soft tissue of head,Any malignancy
2079E,LEUKAEMIC ERYTHRODERMIA,Any malignancy
BB2G.,[M]Adenoid squamous cell carcinoma,Any malignancy
B4A2.,Malignant neoplasm of ureter,Any malignancy
BB81E,[M]Pseudomucinous adenocarcinoma,Any malignancy
BB5B5,"[M]Glucagonoma, malignant",Any malignancy
Byu2.,[X]Malignant neoplasm of respiratory and intrathoracic orga,Any malignancy
1940A,MALIGNANT NEOPLASM ADRENAL GLAND,Any malignancy
N3309,Osteoporosis in multiple myelomatosis,Any malignancy
ByuD6,[X]Other myeloid leukaemia,Any malignancy
B611.,Hodgkin's granuloma,Any malignancy
1959C,MALIGNANT NEOPLASM THUMB,Any malignancy
B2210,Malignant neoplasm of carina of bronchus,Any malignancy
1551A,MALIGNANT CHOLANGIOMA,Any malignancy
BB1B.,[M]Giant cell and spindle cell carcinoma,Any malignancy
BBGM.,[M]Dermatofibrosarcoma NOS,Any malignancy
B4300,Malignant neoplasm of cornu of corpus uteri,Any malignancy
B30..,Chondroma,Any malignancy
B630.,Kahler's disease,Any malignancy
B627C,Follicular lymphoma NOS,Any malignancy
ByuD4,[X]Other malignant immunoproliferative diseases,Any malignancy
Byu41,"[X]Malignant melanoma of skin, unspecified",Any malignancy
B350z,Malignant neoplasm of nipple or areola of male breast NOS,Any malignancy
B2010,Malignant neoplasm of auditory (Eustachian) tube,Any malignancy
BB5j.,[M]Endometrioid adenomas and carcinomas,Any malignancy
B5011,Malignant neoplasm of extraocular muscle of orbit,Any malignancy
B33y.,Malignant neoplasm of other specified skin sites,Any malignancy
B141.,Rectal carcinoma,Any malignancy
B3132,Malignant neoplasm of great vessels,Any malignancy
B343.,Malignant neoplasm of lower-inner quadrant of female breast,Any malignancy
BBF3.,[M]Spindle cell sarcoma,Any malignancy
B118.,Siewert type II adenocarcinoma,Any malignancy
2050R,MYELOBLASTOSIS WITH REFRACTORY ANAEMIA,Any malignancy
1890C,CARCINOMA KIDNEY,Any malignancy
B482.,Malignant neoplasm of body of penis,Any malignancy
B6210,Mycosis fungoides of unspecified site,Any malignancy
C3330,Waldenstrom's macroglobulinaemia,Any malignancy
BB85.,[M]Signet ring carcinoma,Any malignancy
2020B,SYNDROME BRILL-BAEHR-ROSENTHAL,Any malignancy
B152.,Malignant neoplasm of liver unspecified,Any malignancy
2001B,LYMPHOBLASTIC LYMPHOSARCOMA,Any malignancy
B05z.,Malignant neoplasm of mouth NOS,Any malignancy
BB4A.,[M]Papillary transitional cell carcinoma,Any malignancy
B49y.,Malignant neoplasm of other site of urinary bladder,Any malignancy
B17y0,Malignant neoplasm of ectopic pancreatic tissue,Any malignancy
BBL71,[M]Adenosarcoma,Any malignancy
BB5N1,[M]Adenocarcinoma in adenomatous polposis coli,Any malignancy
B4y..,Malignant neoplasm of genitourinary organ OS,Any malignancy
BB24.,[M]Verrucous carcinoma NOS,Any malignancy
Byu50,[X]Mesothelioma of lung,Any malignancy
B206.,"Malignant neoplasm, overlapping lesion of accessory sinuses",Any malignancy
B610.,Hodgkin's paragranuloma,Any malignancy
186 T,MALIGNANT TERATOMA,Any malignancy
B3352,Malignant neoplasm of skin of breast,Any malignancy
B6217,Mycosis fungoides of spleen,Any malignancy
185 A,MALIGNANT NEOPLASM PROSTATE,Any malignancy
Byu51,"[X]Mesothelioma, unspecified",Any malignancy
B6020,Burkitt's lymphoma of unspecified site,Any malignancy
B8254,Carcinoma in situ of skin of abdominal wall,Any malignancy
B1z1.,Malignant neoplasm of spleen NEC,Any malignancy
B050.,Malignant neoplasm of cheek mucosa,Any malignancy
B00..,Carcinoma of lip,Any malignancy
B6127,Hodgkin's sarcoma of spleen,Any malignancy
BB82.,[M]Mucinous adenoma and adenocarcinoma,Any malignancy
B6015,Lymphosarcoma of lymph nodes of inguinal region and leg,Any malignancy
2020F,FOLLICULAR LYMPHOBLASTOMA,Any malignancy
B51yz,Malignant neoplasm of other part of brain NOS,Any malignancy
BBb0.,[M]Gliosarcoma,Any malignancy
BB80z,[M]Cystadenoma or carcinoma NOS,Any malignancy
B5401,Malignant neoplasm of adrenal medulla,Any malignancy
1539C,CARCINOMA BOWEL,Any malignancy
ZV10y,[V]Personal history of malignant neoplasm of tongue,Any malignancy
BB1F.,[M]Polygonal cell carcinoma,Any malignancy
B1514,Malignant neoplasm of intrahepatic gall duct,Any malignancy
B517.,Malignant neoplasm of brain stem,Any malignancy
B6022,Burkitt's lymphoma of intrathoracic lymph nodes,Any malignancy
B54..,Malig neop of other endocrine glands and related structures,Any malignancy
BB5jz,[M]Endometrioid adenoma or carcinoma NOS,Any malignancy
BB5D5,[M]Liver cell carcinoma,Any malignancy
BBB7.,[M]Epithelial-myoepithelial carcinoma,Any malignancy
B11y1,Malignant neoplasm of posterior wall of stomach NEC,Any malignancy
B131.,Malignant neoplasm of transverse colon,Any malignancy
1621C,CARCINOMA BRONCHUS,Any malignancy
BBZN.,[M]Ameloblastic fibrosarcoma,Any malignancy
1879A,NEOPLASM MALIGNANT GENITAL TRACT MALE,Any malignancy
B15..,Malignant neoplasm of liver and intrahepatic bile ducts,Any malignancy
2069,LEUKAEMIA MONOCYTIC,Any malignancy
B33z0,Kaposi's sarcoma of skin,Any malignancy
B6232,Malignant histiocytosis of intrathoracic lymph nodes,Any malignancy
44a4.,Squamous cell carcinoma antigen level,Any malignancy
BB49.,[M]Cloacogenic carcinoma,Any malignancy
B601z,Lymphosarcoma NOS,Any malignancy
B163.,"Malignant neoplasm, overlapping lesion of biliary tract",Any malignancy
B627A,Diffuse non-Hodgkin's large cell lymphoma,Any malignancy
BB5f7,[M]Nonencapsulated sclerosing carcinoma,Any malignancy
B50y.,Malignant neoplasm of other specified site of eye,Any malignancy
BB2E.,"[M]Squamous cell carcinoma, small cell, non-keratinising",Any malignancy
BB54.,[M]Scirrhous adenocarcinoma,Any malignancy
B803.,Carcinoma in situ of colon,Any malignancy
BB43.,[M]Transitional cell carcinoma NOS,Any malignancy
BB5f6,[M]Papillary and follicular adenocarcinoma,Any malignancy
B628.,Follicular lymphoma,Any malignancy
B690.,Acute myelomonocytic leukaemia,Any malignancy
BB51.,[M]Adenocarcinoma in situ,Any malignancy
B8023,Carcinoma in situ of pyloric antrum,Any malignancy
B0040,"Malignant neoplasm of lip unspecified, buccal aspect",Any malignancy
B3032,Malignant neoplasm of clavicle,Any malignancy
B30z.,Malignant neoplasm of bone and articular cartilage NOS,Any malignancy
B224z,"Malignant neoplasm of lower lobe, bronchus or lung NOS",Any malignancy
B18y7,Malignant neoplasm of mesentery,Any malignancy
B52z.,Malignant neoplasm of nervous system NOS,Any malignancy
B3056,Malignant neoplasm of carpal bone - capitate,Any malignancy
2071,LEUKAEMIA CHRONIC,Any malignancy
B62x4,Malignant reticulosis,Any malignancy
B45y0,Malignant neoplasm of overlapping lesion of vulva,Any malignancy
B81y4,Carcinoma in situ of Eustachian tube,Any malignancy
B8009,Carcinoma in situ of hypopharynx,Any malignancy
Byu4.,[X]Melanoma and other malignant neoplasms of skin,Any malignancy
B64z.,Lymphoid leukaemia NOS,Any malignancy
B33z1,Naevoid basal cell carcinoma syndrome,Any malignancy
B3123,Malig neop of connective and soft tissue of lower leg,Any malignancy
B6154,Hodgkin's mixed cellularity of lymph nodes of axilla and arm,Any malignancy
B62zz,Lymphoid and histiocytic malignancy NOS,Any malignancy
B6282,Follicular lymphoma grade 3,Any malignancy
ByuD5,[X]Other lymphoid leukaemia,Any malignancy
1959A,MALIGNANT NEOPLASM PINNA EAR,Any malignancy
B623z,Malignant histiocytosis NOS,Any malignancy
BB5X.,[M]Clear cell adenomas and adenocarcinomas,Any malignancy
B601.,Lymphosarcoma,Any malignancy
ZV10.,[V]Personal history of malignant neoplasm,Any malignancy
B3130,Malignant neoplasm of connective and soft tissue of axilla,Any malignancy
B803z,Carcinoma in situ of colon NOS,Any malignancy
BB84.,[M]Mucin-producing adenocarcinoma,Any malignancy
B51y1,Malignant neoplasm of tapetum,Any malignancy
B3126,Malig neop of connective and soft tissue of great toe,Any malignancy
B807.,Carcinoma in situ of other and unspecified small intestine,Any malignancy
BB81H,[M]Papillary mucinous cystadenocarcinoma,Any malignancy
BBC4.,"[M]Granulosa cell tumour, malignant",Any malignancy
B6005,Reticulosarcoma of lymph nodes of inguinal region and leg,Any malignancy
B826.,Carcinoma in situ of skin of upper limb and shoulder,Any malignancy
B3234,Malignant melanoma of external surface of nose,Any malignancy
BBVz.,[M]Osteoma or osteosarcoma NOS,Any malignancy
B441.,Malignant neoplasm of fallopian tube,Any malignancy
B6144,Hodgkin's nodular sclerosis of lymph nodes of axilla and arm,Any malignancy
B3057,Malignant neoplasm of carpal bone - hamate,Any malignancy
B20z.,Malignant neoplasm of accessory sinus NOS,Any malignancy
B308C,Malignant neoplasm of fifth metatarsal bone,Any malignancy
B213.,Malignant neoplasm of laryngeal cartilage,Any malignancy
BB3F.,"[M]Basal cell carcinoma, infiltrative",Any malignancy
B13z.,Malignant neoplasm of colon NOS,Any malignancy
BB9B.,[M]C cell carcinoma,Any malignancy
B6284,Follicular lymphoma grade 3b,Any malignancy
B485.,Malignant neoplasm of spermatic cord,Any malignancy
B486.,Malignant neoplasm of scrotum,Any malignancy
B627B,Other types of follicular non-Hodgkin's lymphoma,Any malignancy
BBgA.,"[M]Malignant lymphoma, centroblastic-centrocytic, diffuse",Any malignancy
B342.,Malignant neoplasm of upper-inner quadrant of female breast,Any malignancy
B830.,Carcinoma in situ of breast,Any malignancy
191 A,MALIGNANT NEOPLASM CEREBRAL,Any malignancy
Byu31,"[X]Malignant neoplasm/bones+articular cartilage/limb,unspfd",Any malignancy
B6124,Hodgkin's sarcoma of lymph nodes of axilla and upper limb,Any malignancy
B2z0.,"Malig neop of upper respiratory tract, part unspecified",Any malignancy
ZV100,[V]Personal history of malignant neoplasm of anus,Any malignancy
B62z0,Unspec malig neop lymphoid/histiocytic of unspecified site,Any malignancy
BB11.,[M]Carcinoma in situ NOS,Any malignancy
ZV104,[V]Personal history of malignant neoplasm of testis,Any malignancy
BBgR.,"[M]Malignant lymphoma, large cell, diffuse NOS",Any malignancy
B411.,Malignant neoplasm of exocervix,Any malignancy
B8021,Carcinoma in situ of fundus of stomach,Any malignancy
174 P,PAGET'S DISEASE NIPPLE,Any malignancy
Byu1.,[X]Malignant neoplasm of digestive organs,Any malignancy
2059M,MYELOPROLIFERATIVE DISEASE CHRONIC,Any malignancy
BBEC.,[M]Malignant melanoma in junctional naevus,Any malignancy
203 H,HEAVY-CHAIN DISEASE (IGA TYPE),Any malignancy
B8y0.,Carcinoma in situ of eye,Any malignancy
BB26.,[M]Papillary epidermoid carcinoma,Any malignancy
BBF5.,[M]Round cell sarcoma,Any malignancy
B23..,Malignant neoplasm of pleura,Any malignancy
B8082,Carcinoma in situ of hepatic duct,Any malignancy
B6128,Hodgkin's sarcoma of lymph nodes of multiple sites,Any malignancy
1459C,MOUTH CARCINOMA,Any malignancy
B3252,Malignant melanoma of buttock,Any malignancy
BBLC1,"[M]Mesenchymoma, malignant",Any malignancy
ByuF3,[X]Carcinoma in situ of other parts of respiratory system,Any malignancy
BB5f3,"[M]Follicular adenocarcinoma, trabecular type",Any malignancy
B35zz,Malignant neoplasm of male breast NOS,Any malignancy
BBFz.,[M]Soft tissue tumour or sarcoma NOS,Any malignancy
159 A,NEOPLASM MALIGNANT GASTROINTESTINAL TRAC,Any malignancy
BB94.,[M]Secretory breast carcinoma,Any malignancy
B6107,Hodgkin's paragranuloma of spleen,Any malignancy
4M74.,Clark melanoma level 5,Any malignancy
B826z,Carcinoma in situ of skin of upper limb or shoulder NOS,Any malignancy
1959C,MALIGNANT NEOPLASM WRIST,Any malignancy
B41y.,Malignant neoplasm of other site of cervix,Any malignancy
B1z10,Angiosarcoma of spleen,Any malignancy
B6142,Hodgkin's nodular sclerosis of intrathoracic lymph nodes,Any malignancy
BBR4.,"[M]Malignant teratoma, trophoblastic",Any malignancy
B6218,Mycosis fungoides of lymph nodes of multiple sites,Any malignancy
BBm2.,[M]Histiocytic medullary reticulosis,Any malignancy
B511.,Malignant neoplasm of frontal lobe,Any malignancy
1519L,STOMACH LEIOMYBLASTOMA,Any malignancy
BB5D3,[M]Bile duct cystadenocarcinoma,Any malignancy
1530A,ADENOCARCINOMA ASCENDING COLON,Any malignancy
C3330,Waldenstrom macroglobulinaemia,Any malignancy
1929M,MENINGIOMA BRAIN MALIGNANT,Any malignancy
1841A,MALIGNANT NEOPLASM VULVA,Any malignancy
ByuA0,[X]Malignant neoplasm/other and unspecified cranial nerves,Any malignancy
BB5RA,[M]Merkel cell carcinoma,Any malignancy
1620C,TRACHEA CARCINOMA,Any malignancy
BBE10,"[M]Malignant melanoma, regressing",Any malignancy
1959B,MALIGNANT NEOPLASM GROIN,Any malignancy
B133.,Malignant neoplasm of sigmoid colon,Any malignancy
B5120,Malignant neoplasm of hippocampus,Any malignancy
B3111,"Malignant neoplasm of connective and soft tissue, upper arm",Any malignancy
B510z,Malignant neoplasm of cerebrum NOS,Any malignancy
B4A00,Hypernephroma,Any malignancy
B13z.,Colonic cancer,Any malignancy
BB1M.,"[M]Small cell carcinoma, intermediate cell",Any malignancy
B52X.,"Malignant neoplasm of meninges, unspecified",Any malignancy
1710A,MALIGNANT NEOPLASM CAROTID ARTERY,Any malignancy
1820C,UTERUS BODY CARCINOMA,Any malignancy
B3120,Malignant neoplasm of connective and soft tissue of hip,Any malignancy
2022L,MALIGNANT NEOPLASM SPLEEN,Any malignancy
B6024,Burkitt's lymphoma of lymph nodes of axilla and upper limb,Any malignancy
B336z,Malignant neoplasm of skin of upper limb or shoulder NOS,Any malignancy
B3051,Malignant neoplasm of carpal bone - lunate,Any malignancy
B35z.,Malignant neoplasm of other site of male breast,Any malignancy
BBgL.,"[M]Malignant lymphoma, small lymphocytic NOS",Any malignancy
B081.,Malignant neoplasm of pyriform sinus,Any malignancy
B67y.,Other and unspecified leukaemia,Any malignancy
B641.,Chronic lymphoid leukaemia,Any malignancy
1542A,MALIGNANT NEOPLASM ANAL CANAL,Any malignancy
B827.,Carcinoma in situ of skin of leg,Any malignancy
7G05D,Excision biopsy of basal cell carcinoma,Any malignancy
B5171,Malignant neoplasm of medulla oblongata,Any malignancy
BB2A.,[M]Spinous cell carcinoma,Any malignancy
1841C,CARCINOMA VULVA,Any malignancy
B619.,Mixed cellularity classical Hodgkin lymphoma,Any malignancy
BB9D.,[M]Medullary carcinoma with lymphoid stroma,Any malignancy
B8236,Carcinoma in situ of skin of jaw,Any malignancy
B33..,Basal cell carcinoma,Any malignancy
BBB61,"[M]Thymoma, malignant",Any malignancy
B6143,Hodgkin's nodular sclerosis of intra-abdominal lymph nodes,Any malignancy
B432.,Malignant neoplasm of overlapping lesion of corpus uteri,Any malignancy
B47..,Malignant neoplasm of testis,Any malignancy
B3005,Malignant neoplasm of orbital bone,Any malignancy
